Ue_[V]      | Ua_[V]      | Ie_[A]        | F_[Hz]         | φ_[°]         | |Z|_[Ω]       | Z_[Ω]                | R_[Ω]       | X_[Ω]          | H_[1]        | H_[db]         
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5.000e+00 V | 4.970e+00 V | 543.000e-06 A | 174.000e+00 Hz | -83.800e+00 ° | 9.200e+03 Ω   | 1.000-9.150je+03 Ω   | 1.000e+03 Ω | -9.150e+03 Ω   | 994.000e-03  | -51.600e-03 dB 
5.000e+00 V | 4.970e+00 V | 550.000e-06 A | 176.000e+00 Hz | -83.700e+00 ° | 9.100e+03 Ω   | 1.000-9.040je+03 Ω   | 1.000e+03 Ω | -9.040e+03 Ω   | 994.000e-03  | -52.800e-03 dB 
5.000e+00 V | 4.970e+00 V | 556.000e-06 A | 178.000e+00 Hz | -83.600e+00 ° | 9.000e+03 Ω   | 1.000-8.940je+03 Ω   | 1.000e+03 Ω | -8.940e+03 Ω   | 994.000e-03  | -54.000e-03 dB 
5.000e+00 V | 4.970e+00 V | 562.000e-06 A | 180.000e+00 Hz | -83.500e+00 ° | 8.900e+03 Ω   | 1.000-8.840je+03 Ω   | 1.000e+03 Ω | -8.840e+03 Ω   | 994.000e-03  | -55.200e-03 dB 
5.000e+00 V | 4.970e+00 V | 568.000e-06 A | 182.000e+00 Hz | -83.500e+00 ° | 8.800e+03 Ω   | 1.000-8.740je+03 Ω   | 1.000e+03 Ω | -8.740e+03 Ω   | 994.000e-03  | -56.400e-03 dB 
5.000e+00 V | 4.970e+00 V | 574.000e-06 A | 184.000e+00 Hz | -83.400e+00 ° | 8.710e+03 Ω   | 1.000-8.650je+03 Ω   | 1.000e+03 Ω | -8.650e+03 Ω   | 993.000e-03  | -57.700e-03 dB 
5.000e+00 V | 4.970e+00 V | 580.000e-06 A | 186.000e+00 Hz | -83.300e+00 ° | 8.610e+03 Ω   | 1.000-8.560je+03 Ω   | 1.000e+03 Ω | -8.560e+03 Ω   | 993.000e-03  | -58.900e-03 dB 
5.000e+00 V | 4.970e+00 V | 587.000e-06 A | 188.000e+00 Hz | -83.300e+00 ° | 8.520e+03 Ω   | 1.000-8.470je+03 Ω   | 1.000e+03 Ω | -8.470e+03 Ω   | 993.000e-03  | -60.200e-03 dB 
5.000e+00 V | 4.960e+00 V | 593.000e-06 A | 190.000e+00 Hz | -83.200e+00 ° | 8.440e+03 Ω   | 1.000-8.380je+03 Ω   | 1.000e+03 Ω | -8.380e+03 Ω   | 993.000e-03  | -61.500e-03 dB 
5.000e+00 V | 4.960e+00 V | 599.000e-06 A | 192.000e+00 Hz | -83.100e+00 ° | 8.350e+03 Ω   | 1.000-8.290je+03 Ω   | 1.000e+03 Ω | -8.290e+03 Ω   | 993.000e-03  | -62.700e-03 dB 
5.000e+00 V | 4.960e+00 V | 605.000e-06 A | 194.000e+00 Hz | -83.100e+00 ° | 8.260e+03 Ω   | 1.000-8.200je+03 Ω   | 1.000e+03 Ω | -8.200e+03 Ω   | 993.000e-03  | -64.100e-03 dB 
5.000e+00 V | 4.960e+00 V | 611.000e-06 A | 196.000e+00 Hz | -83.000e+00 ° | 8.180e+03 Ω   | 1.000-8.120je+03 Ω   | 1.000e+03 Ω | -8.120e+03 Ω   | 993.000e-03  | -65.400e-03 dB 
5.000e+00 V | 4.960e+00 V | 617.000e-06 A | 198.000e+00 Hz | -82.900e+00 ° | 8.100e+03 Ω   | 1.000-8.040je+03 Ω   | 1.000e+03 Ω | -8.040e+03 Ω   | 992.000e-03  | -66.700e-03 dB 
5.000e+00 V | 4.960e+00 V | 623.000e-06 A | 200.000e+00 Hz | -82.800e+00 ° | 8.020e+03 Ω   | 1.000-7.960je+03 Ω   | 1.000e+03 Ω | -7.960e+03 Ω   | 992.000e-03  | -68.000e-03 dB 
5.000e+00 V | 4.960e+00 V | 630.000e-06 A | 202.000e+00 Hz | -82.800e+00 ° | 7.940e+03 Ω   | 1.000-7.880je+03 Ω   | 1.000e+03 Ω | -7.880e+03 Ω   | 992.000e-03  | -69.400e-03 dB 
5.000e+00 V | 4.960e+00 V | 636.000e-06 A | 204.000e+00 Hz | -82.700e+00 ° | 7.870e+03 Ω   | 1.000-7.800je+03 Ω   | 1.000e+03 Ω | -7.800e+03 Ω   | 992.000e-03  | -70.800e-03 dB 
5.000e+00 V | 4.960e+00 V | 642.000e-06 A | 206.000e+00 Hz | -82.600e+00 ° | 7.790e+03 Ω   | 1.000-7.730je+03 Ω   | 1.000e+03 Ω | -7.730e+03 Ω   | 992.000e-03  | -72.200e-03 dB 
5.000e+00 V | 4.960e+00 V | 648.000e-06 A | 208.000e+00 Hz | -82.600e+00 ° | 7.720e+03 Ω   | 1.000-7.650je+03 Ω   | 1.000e+03 Ω | -7.650e+03 Ω   | 992.000e-03  | -73.600e-03 dB 
5.000e+00 V | 4.960e+00 V | 654.000e-06 A | 210.000e+00 Hz | -82.500e+00 ° | 7.640e+03 Ω   | 1.000-7.580je+03 Ω   | 1.000e+03 Ω | -7.580e+03 Ω   | 991.000e-03  | -75.000e-03 dB 
5.000e+00 V | 4.960e+00 V | 660.000e-06 A | 212.000e+00 Hz | -82.400e+00 ° | 7.570e+03 Ω   | 1.000-7.510je+03 Ω   | 1.000e+03 Ω | -7.510e+03 Ω   | 991.000e-03  | -76.400e-03 dB 
